Song,Shoober,Sporky,Shirpless,RandomThorn,RC,Tommy,Kue,Shebani,Saph,Statsky,Schyph,Maladjusted Platypus,Nico252,evening,ert,Ruby
Taste of Death,7,6.5,8.9,8.5,,4,5,5,,4,4,6,4,5,4,5
"Wanted, Wasted",8,8,5,8,7,5,7,7,,8.5,5,5,7.5,7,6,5.5
Iâ€™m Greedy,1,3,3.9,5,1,1,3,3,4,1,0,1,2,2,6,3
Internet Brain Rot,6.5,7,8.5,7,5,4,6,5,,3,5,4,5,6,5,4.5
NEZUMI Scheme,7.5,7,5.5,7.5,4,5,8.5,8,8,6,6,6,7,4,8,6
soul food,7,4,6.9,7.5,7,5,9,6,,6,3,6,5,3,7,4
CRINGECORE,6.5,7.5,7.4,8,4,4,7.5,4,,3,5.5,2,6,3,4,5
Dance Past Midnight,8,7,6,8.5,6,8,8,7,,9.7,7.5,7,7.5,7,9,6
Death Sentence,5,4,7.5,8.5,2.5,3,5.5,5,,6,4,2,5,6,4,3.5
glass slipper,8.5,8,9,9,8.5,7,9.2,8,,9,8,8,8,8,9,7